Course_ID,Learners_Enrolled,Exam_Registration
noc26_ae21,867,16
noc26_ae22,294,4
noc26_ae23,1161,123
noc26_ae24,995,67
noc26_ae25,421,9
noc26_ae26,1150,32
noc26_ae27,5674,238
noc26_ae28,3118,123
noc26_ae29,1344,92
noc26_ae30,1040,51
noc26_ae31,1127,49
noc26_ae32,440,41
noc26_ae33,729,25
noc26_ae34,768,16
noc26_ae35,879,27
noc26_ae36,474,27
noc26_ae37,231,3
noc26_ae38,613,20
noc26_ae39,819,16
noc26_ae40,1069,129
noc26_ae41,672,22
noc26_ae42,681,24
noc26_ag17,596,17
noc26_ag18,1872,179
noc26_ag19,1608,190
noc26_ag20,4845,661
noc26_ag21,8194,1483
noc26_ag22,1183,52
noc26_ag23,7732,1220
noc26_ag24,2387,345
noc26_ag25,1749,100
noc26_ag26,522,16
noc26_ag27,1990,225
noc26_ag28,5465,632
noc26_ar18,1381,122
noc26_ar19,1061,54
noc26_ar20,827,49
noc26_ar21,679,61
noc26_ar22,562,54
noc26_ar23,369,18
noc26_ar24,1600,179
noc26_ar25,865,45
noc26_ar26,515,30
noc26_ar27,794,58
noc26_ar28,975,123
noc26_ar29,270,15
noc26_ar30,1679,148
noc26_ar31,983,58
noc26_ar32,444,48
noc26_ar33,3918,263
noc26_ar34,1368,130
noc26_ar35,820,39
noc26_ar36,853,77
noc26_ar37,647,53
noc26_ar38,520,37
noc26_ar39,543,15
noc26_ar40,543,19
noc26_bt100,1104,30
noc26_bt101,3332,168
noc26_bt102,3913,253
noc26_bt51,1032,42
noc26_bt52,1824,77
noc26_bt53,211,9
noc26_bt54,272,2
noc26_bt56,7295,704
noc26_bt57,922,49
noc26_bt58,1505,85
noc26_bt59,1580,1030
noc26_bt60,761,30
noc26_bt61,2814,201
noc26_bt62,410,39
noc26_bt63,334,6
noc26_bt65,1109,147
noc26_bt66,1400,50
noc26_bt67,1081,74
noc26_bt68,1119,67
noc26_bt69,423,9
noc26_bt70,2674,166
noc26_bt71,1537,58
noc26_bt72,828,23
noc26_bt73,2127,106
noc26_bt74,1019,36
noc26_bt76,144,2
noc26_bt77,644,38
noc26_bt78,4330,289
noc26_bt79,6501,410
noc26_bt80,2194,56
noc26_bt81,1593,125
noc26_bt82,1478,42
noc26_bt83,851,68
noc26_bt84,2384,145
noc26_bt85,3152,239
noc26_bt86,2969,138
noc26_bt87,1275,48
noc26_bt88,3509,386
noc26_bt89,3247,256
noc26_bt90,663,17
noc26_bt91,5521,255
noc26_bt92,1805,138
noc26_bt93,2260,105
noc26_bt94,3121,178
